id,name,acronym,parent_structure_id,depth,cell count,area (mm^3),density (cells/mm^3)
62,"left Rostrolateral lateral visual area,layer 5",VISrll5-L,58,10,0.0,0.0,
60,"left Rostrolateral lateral visual area, layer 2/3",VISrll2/3-L,58,10,0.0,0.0,
59,"left Rostrolateral lateral visual area, layer 1",VISrll1-L,58,10,0.0,0.0,
10064,"right Rostrolateral lateral visual area, layer 6b",VISrll6b-R,58,10,0.0,0.0,
64,"left Rostrolateral lateral visual area, layer 6b",VISrll6b-L,58,10,0.0,0.0,
10063,"right Rostrolateral lateral visual area, layer 6a",VISrll6a-R,58,10,0.0,0.0,
63,"left Rostrolateral lateral visual area, layer 6a",VISrll6a-L,58,10,0.0,0.0,
10062,"right Rostrolateral lateral visual area,layer 5",VISrll5-R,58,10,0.0,0.0,
10059,"right Rostrolateral lateral visual area, layer 1",VISrll1-R,58,10,0.0,0.0,
10061,"right Rostrolateral lateral visual area, layer 4",VISrll4-R,58,10,0.0,0.0,
61,"left Rostrolateral lateral visual area, layer 4",VISrll4-L,58,10,0.0,0.0,
10060,"right Rostrolateral lateral visual area, layer 2/3",VISrll2/3-R,58,10,0.0,0.0,
10135,"right Laterolateral anterior visual area, layer 6b",VISlla6b-R,129,9,0.0,0.0,
135,"left Laterolateral anterior visual area, layer 6b",VISlla6b-L,129,9,0.0,0.0,
10134,"right Laterolateral anterior visual area, layer 6a",VISlla6a-R,129,9,0.0,0.0,
10519,"right Entorhinal area, medial part, ventral zone, layer 2",ENTmv2-R,517,9,0.0,0.0,
522,"left Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6-L,517,9,0.0,0.0,
134,"left Laterolateral anterior visual area, layer 6a",VISlla6a-L,129,9,0.0,0.0,
10133,"right Laterolateral anterior visual area,layer 5",VISlla5-R,129,9,0.0,0.0,
133,"left Laterolateral anterior visual area,layer 5",VISlla5-L,129,9,0.0,0.0,
10132,"right Laterolateral anterior visual area, layer 4",VISlla4-R,129,9,0.0,0.0,
10522,"right Entorhinal area, medial part, ventral zone, layer 5/6",ENTmv5/6-R,517,9,0.0,0.0,
10521,"right Entorhinal area, medial part, ventral zone, layer 4",ENTmv4-R,517,9,0.0,0.0,
10090,"right Primary somatosensory area, trunk, layer 5",SSp-tr5-R,86,9,0.0,0.0,
521,"left Entorhinal area, medial part, ventral zone, layer 4",ENTmv4-L,517,9,0.0,0.0,
510,"left Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a-L,507,9,0.0,0.0,
10510,"right Entorhinal area, medial part, dorsal zone, layer 2a",ENTm2a-R,507,9,0.0,0.0,
511,"left Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b-L,507,9,0.0,0.0,
10511,"right Entorhinal area, medial part, dorsal zone, layer 2b",ENTm2b-R,507,9,0.0,0.0,
512,"left Entorhinal area, medial part, dorsal zone, layer 3",ENTm3-L,507,9,0.0,0.0,
10512,"right Entorhinal area, medial part, dorsal zone, layer 3",ENTm3-R,507,9,3.0,0.491859375,6.0993042981034975
513,"left Entorhinal area, medial part, dorsal zone, layer 4",ENTm4-L,507,9,0.0,0.0,
10513,"right Entorhinal area, medial part, dorsal zone, layer 4",ENTm4-R,507,9,0.0,0.0,
514,"left Entorhinal area, medial part, dorsal zone, layer 5",ENTm5-L,507,9,0.0,0.0,
10514,"right Entorhinal area, medial part, dorsal zone, layer 5",ENTm5-R,507,9,0.0,0.0,
515,"left Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6-L,507,9,0.0,0.0,
10515,"right Entorhinal area, medial part, dorsal zone, layer 5/6",ENTm5/6-R,507,9,0.0,0.0,
516,"left Entorhinal area, medial part, dorsal zone, layer 6",ENTm6-L,507,9,0.0,0.0,
10516,"right Entorhinal area, medial part, dorsal zone, layer 6",ENTm6-R,507,9,0.0,0.0,
518,"left Entorhinal area, medial part, ventral zone, layer 1",ENTmv1-L,517,9,0.0,0.0,
10518,"right Entorhinal area, medial part, ventral zone, layer 1",ENTmv1-R,517,9,0.0,0.0,
519,"left Entorhinal area, medial part, ventral zone, layer 2",ENTmv2-L,517,9,0.0,0.0,
520,"left Entorhinal area, medial part, ventral zone, layer 3",ENTmv3-L,517,9,0.0,0.0,
10520,"right Entorhinal area, medial part, ventral zone, layer 3",ENTmv3-R,517,9,0.0,0.0,
132,"left Laterolateral anterior visual area, layer 4",VISlla4-L,129,9,0.0,0.0,
10131,"right Laterolateral anterior visual area, layer 2/3",VISlla2/3-R,129,9,0.0,0.0,
131,"left Laterolateral anterior visual area, layer 2/3",VISlla2/3-L,129,9,0.0,0.0,
10130,"right Laterolateral anterior visual area, layer 1",VISlla1-R,129,9,0.0,0.0,
10551,"right Prosubiculum, ventral part, pyramidal layer",ProSv-sp-R,549,9,0.0,0.0,
552,"left Prosubiculum, ventral part, stratum radiatum",Prosv-sr-L,549,9,0.0,0.0,
10552,"right Prosubiculum, ventral part, stratum radiatum",Prosv-sr-R,549,9,0.0,0.0,
443,"left Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3-L,438,9,0.0,0.0,
10099,"right Primary somatosensory area, unassigned, layer 6b",SSp-un6b-R,93,9,0.0,0.0,
99,"left Primary somatosensory area, unassigned, layer 6b",SSp-un6b-L,93,9,0.0,0.0,
10098,"right Primary somatosensory area, unassigned, layer 6a",SSp-un6a-R,93,9,0.0,0.0,
98,"left Primary somatosensory area, unassigned, layer 6a",SSp-un6a-L,93,9,0.0,0.0,
10097,"right Primary somatosensory area, unassigned, layer 5",SSp-un5-R,93,9,0.0,0.0,
97,"left Primary somatosensory area, unassigned, layer 5",SSp-un5-L,93,9,0.0,0.0,
10096,"right Primary somatosensory area, unassigned, layer 4",SSp-un4-R,93,9,0.0,0.0,
96,"left Primary somatosensory area, unassigned, layer 4",SSp-un4-L,93,9,0.0,0.0,
10095,"right Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-R,93,9,0.0,0.0,
95,"left Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-L,93,9,0.0,0.0,
10094,"right Primary somatosensory area, unassigned, layer 1",SSp-un1-R,93,9,0.0,0.0,
94,"left Primary somatosensory area, unassigned, layer 1",SSp-un1-L,93,9,0.0,0.0,
10092,"right Primary somatosensory area, trunk, layer 6b",SSp-tr6b-R,86,9,0.0,0.0,
92,"left Primary somatosensory area, trunk, layer 6b",SSp-tr6b-L,86,9,0.0,0.0,
10091,"right Primary somatosensory area, trunk, layer 6a",SSp-tr6a-R,86,9,0.0,0.0,
551,"left Prosubiculum, ventral part, pyramidal layer",ProSv-sp-L,549,9,0.0,0.0,
10550,"right Prosubiculum, ventral part, molecular layer",ProSv-m-R,549,9,0.0,0.0,
550,"left Prosubiculum, ventral part, molecular layer",ProSv-m-L,549,9,0.0,0.0,
10541,"right Subiculum, ventral part, molecular layer",SUBv-m-R,540,9,0.0,0.0,
130,"left Laterolateral anterior visual area, layer 1",VISlla1-L,129,9,0.0,0.0,
537,"left Subiculum, dorsal part, molecular layer",SUBd-m-L,536,9,0.0,0.0,
10537,"right Subiculum, dorsal part, molecular layer",SUBd-m-R,536,9,0.0,0.0,
538,"left Subiculum, dorsal part, pyramidal layer",SUBd-sp-L,536,9,0.0,0.0,
10538,"right Subiculum, dorsal part, pyramidal layer",SUBd-sp-R,536,9,0.0,0.0,
539,"left Subiculum, dorsal part, stratum radiatum",SUBd-sr-L,536,9,0.0,0.0,
10539,"right Subiculum, dorsal part, stratum radiatum",SUBd-sr-R,536,9,0.0,0.0,
541,"left Subiculum, ventral part, molecular layer",SUBv-m-L,540,9,0.0,0.0,
542,"left Subiculum, ventral part, pyramidal layer",SUBv-sp-L,540,9,0.0,0.0,
10548,"right Prosubiculum, dorsal part, stratum radiatum",ProSd-sr-R,545,9,0.0,0.0,
10542,"right Subiculum, ventral part, pyramidal layer",SUBv-sp-R,540,9,0.0,0.0,
543,"left Subiculum, ventral part, stratum radiatum",SUBv-sr-L,540,9,0.0,0.0,
10543,"right Subiculum, ventral part, stratum radiatum",SUBv-sr-R,540,9,0.0,0.0,
546,"left Prosubiculum, dorsal part, molecular layer",ProSd-m-L,545,9,0.0,0.0,
10546,"right Prosubiculum, dorsal part, molecular layer",ProSd-m-R,545,9,0.0,0.0,
547,"left Prosubiculum, dorsal part, pyramidal layer",ProSd-sp-L,545,9,0.0,0.0,
10547,"right Prosubiculum, dorsal part, pyramidal layer",ProSd-sp-R,545,9,0.0,0.0,
548,"left Prosubiculum, dorsal part, stratum radiatum",ProSd-sr-L,545,9,0.0,0.0,
10509,"right Entorhinal area, medial part, dorsal zone, layer 2",ENTm2-R,507,9,4.0,0.62978125,6.3514117004912425
509,"left Entorhinal area, medial part, dorsal zone, layer 2",ENTm2-L,507,9,0.0,0.0,
10508,"right Entorhinal area, medial part, dorsal zone, layer 1",ENTm1-R,507,9,0.0,0.0,
480,"left Dentate gyrus crest, polymorph layer",DGcr-po-L,478,9,0.0,0.0,
468,"left Field CA3, stratum lacunosum-moleculare",CA3slm-L,467,9,0.0,0.0,
10468,"right Field CA3, stratum lacunosum-moleculare",CA3slm-R,467,9,0.0,0.0,
469,"left Field CA3, stratum lucidum",CA3slu-L,467,9,0.0,0.0,
10469,"right Field CA3, stratum lucidum",CA3slu-R,467,9,0.0,0.0,
470,"left Field CA3, stratum oriens",CA3so-L,467,9,0.0,0.0,
10470,"right Field CA3, stratum oriens",CA3so-R,467,9,0.0,0.0,
471,"left Field CA3, pyramidal layer",CA3sp-L,467,9,0.0,0.0,
10471,"right Field CA3, pyramidal layer",CA3sp-R,467,9,0.0,0.0,
472,"left Field CA3, stratum radiatum",CA3sr-L,467,9,0.0,0.0,
10472,"right Field CA3, stratum radiatum",CA3sr-R,467,9,0.0,0.0,
10439,"right Cortical amygdalar area, posterior part, medial zone, layers 1-2",COApm1-2-R,438,9,0.0,0.0,
439,"left Cortical amygdalar area, posterior part, medial zone, layers 1-2",COApm1-2-L,438,9,0.0,0.0,
10437,"right Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3-R,432,9,0.0,0.0,
437,"left Cortical amygdalar area, posterior part, lateral zone, layer 3",COApl3-L,432,9,0.0,0.0,
10436,"right Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2-R,432,9,0.0,0.0,
436,"left Cortical amygdalar area, posterior part, lateral zone, layer 2",COApl2-L,432,9,0.0,0.0,
10435,"right Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1-R,432,9,0.0,0.0,
435,"left Cortical amygdalar area, posterior part, lateral zone, layer 1",COApl1-L,432,9,0.0,0.0,
479,"left Dentate gyrus crest, molecular layer",DGcr-mo-L,478,9,0.0,0.0,
440,"left Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3-L,438,9,0.0,0.0,
10440,"right Cortical amygdalar area, posterior part, medial zone, layers 1-3",COApm1-3-R,438,9,0.0,0.0,
10466,"right Field CA2, stratum radiatum",CA2sr-R,462,9,0.0,0.0,
461,"left Field CA1, stratum radiatum",CA1sr-L,457,9,0.0,0.0,
10442,"right Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2-R,438,9,0.0,0.0,
442,"left Cortical amygdalar area, posterior part, medial zone, layer 2",COApm2-L,438,9,0.0,0.0,
458,"left Field CA1, stratum lacunosum-moleculare",CA1slm-L,457,9,0.0,0.0,
10458,"right Field CA1, stratum lacunosum-moleculare",CA1slm-R,457,9,0.0,0.0,
459,"left Field CA1, stratum oriens",CA1so-L,457,9,0.0,0.0,
10459,"right Field CA1, stratum oriens",CA1so-R,457,9,0.0,0.0,
460,"left Field CA1, pyramidal layer",CA1sp-L,457,9,0.0,0.0,
10460,"right Field CA1, pyramidal layer",CA1sp-R,457,9,0.0,0.0,
10461,"right Field CA1, stratum radiatum",CA1sr-R,457,9,0.0,0.0,
466,"left Field CA2, stratum radiatum",CA2sr-L,462,9,0.0,0.0,
10441,"right Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1-R,438,9,0.0,0.0,
441,"left Cortical amygdalar area, posterior part, medial zone, layer 1",COApm1-L,438,9,0.0,0.0,
463,"left Field CA2, stratum lacunosum-moleculare",CA2slm-L,462,9,0.0,0.0,
10463,"right Field CA2, stratum lacunosum-moleculare",CA2slm-R,462,9,0.0,0.0,
464,"left Field CA2, stratum oriens",CA2so-L,462,9,0.0,0.0,
10464,"right Field CA2, stratum oriens",CA2so-R,462,9,0.0,0.0,
465,"left Field CA2, pyramidal layer",CA2sp-L,462,9,0.0,0.0,
10465,"right Field CA2, pyramidal layer",CA2sp-R,462,9,0.0,0.0,
10479,"right Dentate gyrus crest, molecular layer",DGcr-mo-R,478,9,0.0,0.0,
10480,"right Dentate gyrus crest, polymorph layer",DGcr-po-R,478,9,0.0,0.0,
508,"left Entorhinal area, medial part, dorsal zone, layer 1",ENTm1-L,507,9,0.0,0.0,
481,"left Dentate gyrus crest, granule cell layer",DGcr-sg-L,478,9,0.0,0.0,
10497,"right Entorhinal area, lateral part, layer 2/3",ENTl2/3-R,494,9,0.0,0.0,
498,"left Entorhinal area, lateral part, layer 2a",ENTl2a-L,494,9,0.0,0.0,
10498,"right Entorhinal area, lateral part, layer 2a",ENTl2a-R,494,9,0.0,0.0,
499,"left Entorhinal area, lateral part, layer 2b",ENTl2b-L,494,9,0.0,0.0,
10499,"right Entorhinal area, lateral part, layer 2b",ENTl2b-R,494,9,0.0,0.0,
500,"left Entorhinal area, lateral part, layer 3",ENTl3-L,494,9,0.0,0.0,
10500,"right Entorhinal area, lateral part, layer 3",ENTl3-R,494,9,0.0,0.0,
501,"left Entorhinal area, lateral part, layer 4",ENTl4-L,494,9,0.0,0.0,
10501,"right Entorhinal area, lateral part, layer 4",ENTl4-R,494,9,0.0,0.0,
502,"left Entorhinal area, lateral part, layer 4/5",ENTl4/5-L,494,9,0.0,0.0,
10502,"right Entorhinal area, lateral part, layer 4/5",ENTl4/5-R,494,9,0.0,0.0,
503,"left Entorhinal area, lateral part, layer 5",ENTl5-L,494,9,0.0,0.0,
10503,"right Entorhinal area, lateral part, layer 5",ENTl5-R,494,9,0.0,0.0,
504,"left Entorhinal area, lateral part, layer 5/6",ENTl5/6-L,494,9,0.0,0.0,
10504,"right Entorhinal area, lateral part, layer 5/6",ENTl5/6-R,494,9,0.0,0.0,
505,"left Entorhinal area, lateral part, layer 6a",ENTl6a-L,494,9,1.0,0.523890625,1.9087953711712247
10505,"right Entorhinal area, lateral part, layer 6a",ENTl6a-R,494,9,0.0,0.0,
506,"left Entorhinal area, lateral part, layer 6b",ENTl6b-L,494,9,0.0,0.0,
10506,"right Entorhinal area, lateral part, layer 6b",ENTl6b-R,494,9,0.0,0.0,
497,"left Entorhinal area, lateral part, layer 2/3",ENTl2/3-L,494,9,0.0,0.0,
10496,"right Entorhinal area, lateral part, layer 2",ENTl2-R,494,9,0.0,0.0,
496,"left Entorhinal area, lateral part, layer 2",ENTl2-L,494,9,0.0,0.0,
10485,"right Dentate gyrus lateral blade, granule cell layer",DGlb-sg-R,482,9,0.0,0.0,
10481,"right Dentate gyrus crest, granule cell layer",DGcr-sg-R,478,9,0.0,0.0,
10434,"right Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3-R,432,9,0.0,0.0,
434,"left Cortical amygdalar area, posterior part, lateral zone, layers 1-3",COApl1-3-L,432,9,0.0,0.0,
483,"left Dentate gyrus lateral blade, molecular layer",DGlb-mo-L,482,9,0.0,0.0,
10483,"right Dentate gyrus lateral blade, molecular layer",DGlb-mo-R,482,9,0.0,0.0,
484,"left Dentate gyrus lateral blade, polymorph layer",DGlb-po-L,482,9,0.0,0.0,
10484,"right Dentate gyrus lateral blade, polymorph layer",DGlb-po-R,482,9,0.0,0.0,
485,"left Dentate gyrus lateral blade, granule cell layer",DGlb-sg-L,482,9,0.0,0.0,
10433,"right Cortical amygdalar area, posterior part, lateral zone, layers 1-2",COApl1-2-R,432,9,0.0,0.0,
10495,"right Entorhinal area, lateral part, layer 1",ENTl1-R,494,9,0.0,0.0,
433,"left Cortical amygdalar area, posterior part, lateral zone, layers 1-2",COApl1-2-L,432,9,0.0,0.0,
487,"left Dentate gyrus medial blade, molecular layer",DGmb-mo-L,486,9,0.0,0.0,
10487,"right Dentate gyrus medial blade, molecular layer",DGmb-mo-R,486,9,0.0,0.0,
488,"left Dentate gyrus medial blade, polymorph layer",DGmb-po-L,486,9,0.0,0.0,
10488,"right Dentate gyrus medial blade, polymorph layer",DGmb-po-R,486,9,0.0,0.0,
489,"left Dentate gyrus medial blade, granule cell layer",DGmb-sg-L,486,9,0.0,0.0,
10489,"right Dentate gyrus medial blade, granule cell layer",DGmb-sg-R,486,9,0.0,0.0,
495,"left Entorhinal area, lateral part, layer 1",ENTl1-L,494,9,0.0,0.0,
91,"left Primary somatosensory area, trunk, layer 6a",SSp-tr6a-L,86,9,0.0,0.0,
10443,"right Cortical amygdalar area, posterior part, medial zone, layer 3",COApm3-R,438,9,0.0,0.0,
90,"left Primary somatosensory area, trunk, layer 5",SSp-tr5-L,86,9,0.0,0.0,
10052,"right Primary somatosensory area, barrel field, layer 1",SSp-bfd1-R,51,9,0.0,0.0,
10050,"right Primary somatosensory area, nose, layer 6b",SSp-n6b-R,44,9,0.0,0.0,
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44,9,0.0,0.0,
10049,"right Primary somatosensory area, nose, layer 6a",SSp-n6a-R,44,9,0.0,0.0,
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44,9,0.0,0.0,
10048,"right Primary somatosensory area, nose, layer 5",SSp-n5-R,44,9,0.0,0.0,
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44,9,0.0,0.0,
10047,"right Primary somatosensory area, nose, layer 4",SSp-n4-R,44,9,0.0,0.0,
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44,9,0.0,0.0,
10046,"right Primary somatosensory area, nose, layer 2/3",SSp-n2/3-R,44,9,0.0,0.0,
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44,9,0.0,0.0,
10045,"right Primary somatosensory area, nose, layer 1",SSp-n1-R,44,9,0.0,0.0,
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44,9,0.0,0.0,
10324,"right Medial visual area, layer 6b",VISm6b-R,318,9,0.0,0.0,
324,"left Medial visual area, layer 6b",VISm6b-L,318,9,0.0,0.0,
10323,"right Medial visual area, layer 6a",VISm6a-R,318,9,0.0,0.0,
10089,"right Primary somatosensory area, trunk, layer 4",SSp-tr4-R,86,9,0.0,0.0,
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51,9,0.0,0.0,
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65,9,0.0,0.0,
10053,"right Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-R,51,9,0.0,0.0,
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65,9,0.0,0.0,
10067,"right Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-R,65,9,0.0,0.0,
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65,9,0.0,0.0,
10066,"right Primary somatosensory area, lower limb, layer 1",SSp-ll1-R,65,9,0.0,0.0,
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65,9,0.0,0.0,
10058,right Rostrolateral lateral visual area,VISrll-R,51,9,0.0,0.0,
58,left Rostrolateral lateral visual area,VISrll-L,51,9,0.0,0.0,
10057,"right Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-R,51,9,0.0,0.0,
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51,9,0.0,0.0,
10056,"right Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-R,51,9,0.0,0.0,
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51,9,0.0,0.0,
10055,"right Primary somatosensory area, barrel field, layer 5",SSp-bfd5-R,51,9,0.0,0.0,
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51,9,0.0,0.0,
10054,"right Primary somatosensory area, barrel field, layer 4",SSp-bfd4-R,51,9,0.0,0.0,
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51,9,0.0,0.0,
323,"left Medial visual area, layer 6a",VISm6a-L,318,9,0.0,0.0,
10322,"right Medial visual area,layer 5",VISm5-R,318,9,0.0,0.0,
322,"left Medial visual area,layer 5",VISm5-L,318,9,0.0,0.0,
10321,"right Medial visual area, layer 4",VISm4-R,318,9,0.0,0.0,
310,"left Mediomedial anterior visual area, layer 6b",VISmma6b-L,304,9,0.0,0.0,
10309,"right Mediomedial anterior visual area, layer 6a",VISmma6a-R,304,9,0.0,0.0,
725,"left Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",PVHpml-L,724,9,0.0,0.0,
10725,"right Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, lateral zone",PVHpml-R,724,9,0.0,0.0,
726,"left Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",PVHpmm-L,724,9,0.0,0.0,
10726,"right Paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part, medial zone",PVHpmm-R,724,9,0.0,0.0,
309,"left Mediomedial anterior visual area, layer 6a",VISmma6a-L,304,9,0.0,0.0,
10308,"right Mediomedial anterior visual area,layer 5",VISmma5-R,304,9,0.0,0.0,
308,"left Mediomedial anterior visual area,layer 5",VISmma5-L,304,9,0.0,0.0,
10307,"right Mediomedial anterior visual area, layer 4",VISmma4-R,304,9,0.0,0.0,
307,"left Mediomedial anterior visual area, layer 4",VISmma4-L,304,9,0.0,0.0,
10306,"right Mediomedial anterior visual area, layer 2/3",VISmma2/3-R,304,9,0.0,0.0,
306,"left Mediomedial anterior visual area, layer 2/3",VISmma2/3-L,304,9,0.0,0.0,
10305,"right Mediomedial anterior visual area, layer 1",VISmma1-R,304,9,0.0,0.0,
305,"left Mediomedial anterior visual area, layer 1",VISmma1-L,304,9,0.0,0.0,
10310,"right Mediomedial anterior visual area, layer 6b",VISmma6b-R,304,9,0.0,0.0,
312,"left Mediomedial posterior visual area, layer 1",VISmmp1-L,311,9,0.0,0.0,
10312,"right Mediomedial posterior visual area, layer 1",VISmmp1-R,311,9,0.0,0.0,
317,"left Mediomedial posterior visual area, layer 6b",VISmmp6b-L,311,9,0.0,0.0,
321,"left Medial visual area, layer 4",VISm4-L,318,9,0.0,0.0,
10320,"right Medial visual area, layer 2/3",VISm2/3-R,318,9,0.0,0.0,
320,"left Medial visual area, layer 2/3",VISm2/3-L,318,9,0.0,0.0,
10319,"right Medial visual area, layer 1",VISm1-R,318,9,0.0,0.0,
319,"left Medial visual area, layer 1",VISm1-L,318,9,0.0,0.0,
10317,"right Mediomedial posterior visual area, layer 6b",VISmmp6b-R,311,9,0.0,0.0,
10316,"right Mediomedial posterior visual area, layer 6a",VISmmp6a-R,311,9,0.0,0.0,
313,"left Mediomedial posterior visual area, layer 2/3",VISmmp2/3-L,311,9,0.0,0.0,
316,"left Mediomedial posterior visual area, layer 6a",VISmmp6a-L,311,9,0.0,0.0,
10315,"right Mediomedial posterior visual area,layer 5",VISmmp5-R,311,9,0.0,0.0,
315,"left Mediomedial posterior visual area,layer 5",VISmmp5-L,311,9,0.0,0.0,
10314,"right Mediomedial posterior visual area, layer 4",VISmmp4-R,311,9,0.0,0.0,
314,"left Mediomedial posterior visual area, layer 4",VISmmp4-L,311,9,0.0,0.0,
10313,"right Mediomedial posterior visual area, layer 2/3",VISmmp2/3-R,311,9,0.0,0.0,
10068,"right Primary somatosensory area, lower limb, layer 4",SSp-ll4-R,65,9,0.0,0.0,
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51,9,0.0,0.0,
10070,"right Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-R,65,9,0.0,0.0,
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72,9,0.0,0.0,
89,"left Primary somatosensory area, trunk, layer 4",SSp-tr4-L,86,9,0.0,0.0,
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65,9,0.0,0.0,
10071,"right Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-R,65,9,0.0,0.0,
10085,"right Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-R,79,9,0.0,0.0,
87,"left Primary somatosensory area, trunk, layer 1",SSp-tr1-L,86,9,0.0,0.0,
10087,"right Primary somatosensory area, trunk, layer 1",SSp-tr1-R,86,9,0.0,0.0,
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72,9,0.0,0.0,
10073,"right Primary somatosensory area, mouth, layer 1",SSp-m1-R,72,9,0.0,0.0,
10074,"right Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-R,72,9,0.0,0.0,
10069,"right Primary somatosensory area, lower limb, layer 5",SSp-ll5-R,65,9,0.0,0.0,
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72,9,0.0,0.0,
88,"left Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-L,86,9,0.0,0.0,
10088,"right Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-R,86,9,0.0,0.0,
10075,"right Primary somatosensory area, mouth, layer 4",SSp-m4-R,72,9,0.0,0.0,
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72,9,0.0,0.0,
10076,"right Primary somatosensory area, mouth, layer 5",SSp-m5-R,72,9,0.0,0.0,
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72,9,0.0,0.0,
10077,"right Primary somatosensory area, mouth, layer 6a",SSp-m6a-R,72,9,0.0,0.0,
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65,9,0.0,0.0,
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72,9,0.0,0.0,
85,"left Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-L,79,9,0.0,0.0,
10082,"right Primary somatosensory area, upper limb, layer 4",SSp-ul4-R,79,9,0.0,0.0,
10081,"right Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-R,79,9,0.0,0.0,
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79,9,0.0,0.0,
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79,9,0.0,0.0,
10084,"right Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-R,79,9,0.0,0.0,
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79,9,0.0,0.0,
