id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,911399.0,699.556515625,1302.8239743943134
0,left root,root-L,-1.0,0.0,3519593.0,250.9855625,14023.089475515151
1,left Basic cell groups and regions,grey-L,0.0,1.0,3257448.0,224.5929375,14503.786433622829
2,left Cerebrum,CH-L,1.0,2.0,2588307.0,137.89371875,18770.30385040653
3,left Cerebral cortex,CTX-L,2.0,3.0,2365780.0,110.753453125,21360.778677752853
4,left Cortical plate,CTXpl-L,3.0,4.0,2305744.0,106.300359375,21690.839180194445
5,left Isocortex,Isocortex-L,4.0,5.0,1265495.0,61.627640625,20534.535918719506
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,4210.0,0.4861875,8659.210695462141
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1196.0,0.12675,9435.897435897436
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,824.0,0.11703125,7040.854472630173
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,1830.0,0.185796875,9849.465982675973
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,352.0,0.05609375,6275.208913649025
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,8.0,0.000515625,15515.151515151514
12,left Somatomotor areas,MO-L,5.0,6.0,133076.0,12.231046875,10880.180687722202
18,left Primary motor area,MOp-L,12.0,7.0,78801.0,5.676734375,13881.396379410478
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,5261.0,0.664609375,7915.928059245328
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,24872.0,1.8444375,13484.870048456509
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,30567.0,1.636203125,18681.665823123276
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,17267.0,1.437953125,12008.0409436156
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,834.0,0.09353125,8916.805880387572
24,left Secondary motor area,MOs-L,12.0,7.0,54275.0,6.5543125,8280.807483622424
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,3645.0,1.1643125,3130.602823554673
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,15091.0,1.901640625,7935.7791380797835
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,23895.0,2.26159375,10565.558027386662
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,11292.0,1.189171875,9495.683708463084
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,352.0,0.03759375,9363.25852036575
30,left Somatosensory areas,SS-L,5.0,6.0,377544.0,16.666171875,22653.312520215444
37,left Primary somatosensory area,SSp-L,30.0,7.0,272518.0,12.1535,22423.0057185173
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,28119.0,1.509703125,18625.516192132145
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4381.0,0.2028125,21601.232665639443
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,6104.0,0.3201875,19063.82978723404
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,4751.0,0.274109375,17332.497292367327
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,5937.0,0.283515625,20940.64480573161
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,6697.0,0.402328125,16645.61730552643
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,249.0,0.02675,9308.411214953272
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,78718.0,3.145734375,25023.72756758905
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,7141.0,0.419375,17027.719821162445
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,15850.0,0.75821875,20904.257511437165
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,22557.0,0.641265625,35175.75107819011
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,15893.0,0.603984375,26313.594619066098
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,15845.0,0.648828125,24420.95123419627
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,1432.0,0.0740625,19335.021097046414
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,23668.0,1.176484375,20117.564247293976
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,1127.0,0.149265625,7550.298335601381
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,6698.0,0.32325,20720.80433101315
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,5951.0,0.1366875,43537.265660722456
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,5366.0,0.278,19302.158273381294
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,4109.0,0.263890625,15570.844928651786
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,417.0,0.025390625,16423.384615384617
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,77847.0,3.105328125,25068.848400682295
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,9801.0,0.3904375,25102.609252441172
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,25422.0,0.7490625,33938.42302878598
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,12196.0,0.4736875,25746.93231297005
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,16197.0,0.60871875,26608.34745110119
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,13797.0,0.82609375,16701.49423113297
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,434.0,0.057328125,7570.455164895066
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,34221.0,1.88471875,18157.085772081376
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,3180.0,0.230640625,13787.683761262788
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,9675.0,0.4891875,19777.692602529703
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,6771.0,0.261640625,25879.008659301282
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79.0,9.0,7343.0,0.395625,18560.50552922591
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79.0,9.0,6754.0,0.470546875,14353.511539100116
85,"left Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-L,79.0,9.0,498.0,0.037078125,13431.099873577748
86,"left Primary somatosensory area, trunk",SSp-tr-L,37.0,8.0,19290.0,0.700375,27542.38800642513
87,"left Primary somatosensory area, trunk, layer 1",SSp-tr1-L,86.0,9.0,1048.0,0.10228125,10246.25725633975
88,"left Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-L,86.0,9.0,4559.0,0.21225,21479.387514723203
89,"left Primary somatosensory area, trunk, layer 4",SSp-tr4-L,86.0,9.0,4319.0,0.07596875,56852.324146441795
90,"left Primary somatosensory area, trunk, layer 5",SSp-tr5-L,86.0,9.0,5553.0,0.17646875,31467.327784664423
91,"left Primary somatosensory area, trunk, layer 6a",SSp-tr6a-L,86.0,9.0,3346.0,0.11621875,28790.535090077978
92,"left Primary somatosensory area, trunk, layer 6b",SSp-tr6b-L,86.0,9.0,465.0,0.0171875,27054.545454545452
93,"left Primary somatosensory area, unassigned",SSp-un-L,37.0,8.0,10655.0,0.63115625,16881.715106203894
94,"left Primary somatosensory area, unassigned, layer 1",SSp-un1-L,93.0,9.0,1550.0,0.08315625,18639.609169485157
95,"left Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-L,93.0,9.0,2376.0,0.165390625,14365.989607935757
96,"left Primary somatosensory area, unassigned, layer 4",SSp-un4-L,93.0,9.0,2165.0,0.09409375,23008.967120557954
97,"left Primary somatosensory area, unassigned, layer 5",SSp-un5-L,93.0,9.0,2273.0,0.129125,17603.097773475318
98,"left Primary somatosensory area, unassigned, layer 6a",SSp-un6a-L,93.0,9.0,2107.0,0.146953125,14337.905369484319
99,"left Primary somatosensory area, unassigned, layer 6b",SSp-un6b-L,93.0,9.0,184.0,0.0124375,14793.96984924623
100,left Supplemental somatosensory area,SSs-L,30.0,7.0,105026.0,4.512671875,23273.57337497533
101,"left Supplemental somatosensory area, layer 1",SSs1-L,100.0,8.0,9964.0,0.624,15967.948717948719
102,"left Supplemental somatosensory area, layer 2/3",SSs2/3-L,100.0,8.0,23932.0,1.072484375,22314.544209560165
103,"left Supplemental somatosensory area, layer 4",SSs4-L,100.0,8.0,19737.0,0.5831875,33843.31797235023
104,"left Supplemental somatosensory area, layer 5",SSs5-L,100.0,8.0,29133.0,1.092734375,26660.642024737255
105,"left Supplemental somatosensory area, layer 6a",SSs6a-L,100.0,8.0,20574.0,1.037703125,19826.47975546956
106,"left Supplemental somatosensory area, layer 6b",SSs6b-L,100.0,8.0,1686.0,0.1025625,16438.75685557587
107,left Gustatory areas,GU-L,5.0,6.0,28969.0,0.884859375,32738.535431124295
108,"left Gustatory areas, layer 1",GU1-L,107.0,7.0,5671.0,0.0978125,57978.274760383385
109,"left Gustatory areas, layer 2/3",GU2/3-L,107.0,7.0,9230.0,0.20109375,45898.9898989899
110,"left Gustatory areas, layer 4",GU4-L,107.0,7.0,2756.0,0.0735,37496.598639455784
111,"left Gustatory areas, layer 5",GU5-L,107.0,7.0,8535.0,0.272515625,31319.305085717562
112,"left Gustatory areas, layer 6a",GU6a-L,107.0,7.0,2745.0,0.219875,12484.366117111997
113,"left Gustatory areas, layer 6b",GU6b-L,107.0,7.0,32.0,0.0200625,1595.0155763239875
114,left Visceral area,VISC-L,5.0,6.0,24856.0,1.177078125,21116.695206615957
115,"left Visceral area, layer 1",VISC1-L,114.0,7.0,3745.0,0.171578125,21826.791731172023
116,"left Visceral area, layer 2/3",VISC2/3-L,114.0,7.0,6014.0,0.268859375,22368.570930435286
117,"left Visceral area, layer 4",VISC4-L,114.0,7.0,2173.0,0.09134375,23789.25761204242
118,"left Visceral area, layer 5",VISC5-L,114.0,7.0,7599.0,0.35340625,21502.166416128748
119,"left Visceral area, layer 6a",VISC6a-L,114.0,7.0,4987.0,0.267125,18669.162377164248
120,"left Visceral area, layer 6b",VISC6b-L,114.0,7.0,338.0,0.024765625,13647.94952681388
121,left Auditory areas,AUD-L,5.0,6.0,90061.0,2.903578125,31017.247038944406
122,left Dorsal auditory area,AUDd-L,121.0,7.0,18767.0,0.607375,30898.538793990534
123,"left Dorsal auditory area, layer 1",AUDd1-L,122.0,8.0,1164.0,0.098125,11862.420382165605
124,"left Dorsal auditory area, layer 2/3",AUDd2/3-L,122.0,8.0,3926.0,0.164,23939.0243902439
125,"left Dorsal auditory area, layer 4",AUDd4-L,122.0,8.0,3430.0,0.06609375,51895.98108747044
126,"left Dorsal auditory area, layer 5",AUDd5-L,122.0,8.0,7226.0,0.17165625,42095.758237757145
127,"left Dorsal auditory area, layer 6a",AUDd6a-L,122.0,8.0,2492.0,0.092265625,27008.975444538526
128,"left Dorsal auditory area, layer 6b",AUDd6b-L,122.0,8.0,529.0,0.015234375,34724.10256410256
136,left Primary auditory area,AUDp-L,121.0,7.0,34565.0,1.07671875,32102.162240603688
137,"left Primary auditory area, layer 1",AUDp1-L,136.0,8.0,2830.0,0.18984375,14906.995884773662
138,"left Primary auditory area, layer 2/3",AUDp2/3-L,136.0,8.0,6559.0,0.235625,27836.60477453581
139,"left Primary auditory area, layer 4",AUDp4-L,136.0,8.0,5240.0,0.117375,44643.23748668797
140,"left Primary auditory area, layer 5",AUDp5-L,136.0,8.0,14607.0,0.3574375,40865.88564434341
141,"left Primary auditory area, layer 6a",AUDp6a-L,136.0,8.0,4165.0,0.149203125,27914.96491779244
142,"left Primary auditory area, layer 6b",AUDp6b-L,136.0,8.0,1164.0,0.027234375,42740.10327022375
143,left Posterior auditory area,AUDpo-L,121.0,7.0,11065.0,0.306625,36086.424785976356
144,"left Posterior auditory area, layer 1",AUDpo1-L,143.0,8.0,1376.0,0.056703125,24266.740148801324
145,"left Posterior auditory area, layer 2/3",AUDpo2/3-L,143.0,8.0,3028.0,0.073265625,41329.068031563234
146,"left Posterior auditory area, layer 4",AUDpo4-L,143.0,8.0,2191.0,0.0373125,58720.26800670017
147,"left Posterior auditory area, layer 5",AUDpo5-L,143.0,8.0,2860.0,0.0906875,31536.871123363195
148,"left Posterior auditory area, layer 6a",AUDpo6a-L,143.0,8.0,1253.0,0.039578125,31658.902487169365
149,"left Posterior auditory area, layer 6b",AUDpo6b-L,143.0,8.0,357.0,0.009078125,39325.30120481928
150,left Ventral auditory area,AUDv-L,121.0,7.0,25664.0,0.912859375,28113.85926775414
151,"left Ventral auditory area, layer 1",AUDv1-L,150.0,8.0,2286.0,0.145921875,15665.91712174751
152,"left Ventral auditory area, layer 2/3",AUDv2/3-L,150.0,8.0,4417.0,0.19434375,22727.769737899984
153,"left Ventral auditory area, layer 4",AUDv4-L,150.0,8.0,3610.0,0.10675,33817.33021077284
154,"left Ventral auditory area, layer 5",AUDv5-L,150.0,8.0,9996.0,0.30221875,33075.38000206804
155,"left Ventral auditory area, layer 6a",AUDv6a-L,150.0,8.0,4598.0,0.141671875,32455.277379508105
156,"left Ventral auditory area, layer 6b",AUDv6b-L,150.0,8.0,757.0,0.021953125,34482.56227758007
157,left Visual areas,VIS-L,5.0,6.0,185129.0,6.73221875,27498.95790299446
164,left Anterolateral visual area,VISal-L,157.0,7.0,12727.0,0.37953125,33533.47056401811
165,"left Anterolateral visual area, layer 1",VISal1-L,164.0,8.0,1141.0,0.058921875,19364.624767966056
166,"left Anterolateral visual area, layer 2/3",VISal2/3-L,164.0,8.0,3335.0,0.099625,33475.53324968632
167,"left Anterolateral visual area, layer 4",VISal4-L,164.0,8.0,3055.0,0.051671875,59123.07227094043
168,"left Anterolateral visual area, layer 5",VISal5-L,164.0,8.0,3153.0,0.101765625,30982.957162597882
169,"left Anterolateral visual area, layer 6a",VISal6a-L,164.0,8.0,1730.0,0.0563125,30721.42064372919
170,"left Anterolateral visual area, layer 6b",VISal6b-L,164.0,8.0,313.0,0.011234375,27860.917941585536
171,left Anteromedial visual area,VISam-L,157.0,7.0,7261.0,0.3951875,18373.55685592282
172,"left Anteromedial visual area, layer 1",VISam1-L,171.0,8.0,722.0,0.066859375,10798.784762795045
173,"left Anteromedial visual area, layer 2/3",VISam2/3-L,171.0,8.0,2242.0,0.104,21557.69230769231
174,"left Anteromedial visual area, layer 4",VISam4-L,171.0,8.0,804.0,0.030171875,26647.33298808907
175,"left Anteromedial visual area, layer 5",VISam5-L,171.0,8.0,1907.0,0.11375,16764.835164835164
176,"left Anteromedial visual area, layer 6a",VISam6a-L,171.0,8.0,1329.0,0.067796875,19602.673427056925
177,"left Anteromedial visual area, layer 6b",VISam6b-L,171.0,8.0,257.0,0.012609375,20381.6604708798
178,left Lateral visual area,VISl-L,157.0,7.0,22026.0,0.61309375,35925.99011162649
179,"left Lateral visual area, layer 1",VISl1-L,178.0,8.0,2691.0,0.0928125,28993.939393939392
180,"left Lateral visual area, layer 2/3",VISl2/3-L,178.0,8.0,7493.0,0.150609375,49751.21900612097
181,"left Lateral visual area, layer 4",VISl4-L,178.0,8.0,3727.0,0.089640625,41577.130904654
182,"left Lateral visual area, layer 5",VISl5-L,178.0,8.0,4970.0,0.157,31656.05095541401
183,"left Lateral visual area, layer 6a",VISl6a-L,178.0,8.0,2930.0,0.10353125,28300.633866586173
184,"left Lateral visual area, layer 6b",VISl6b-L,178.0,8.0,215.0,0.0195,11025.641025641025
185,left Primary visual area,VISp-L,157.0,7.0,101659.0,3.537703125,28735.876473524044
186,"left Primary visual area, layer 1",VISp1-L,185.0,8.0,9074.0,0.630546875,14390.682691116344
187,"left Primary visual area, layer 2/3",VISp2/3-L,185.0,8.0,31581.0,0.99971875,31589.884655059235
188,"left Primary visual area, layer 4",VISp4-L,185.0,8.0,22922.0,0.5121875,44753.14215985357
189,"left Primary visual area, layer 5",VISp5-L,185.0,8.0,20991.0,0.776203125,27043.178935926084
190,"left Primary visual area, layer 6a",VISp6a-L,185.0,8.0,15531.0,0.534015625,29083.418673376833
191,"left Primary visual area, layer 6b",VISp6b-L,185.0,8.0,1560.0,0.08503125,18346.19625137817
192,left Posterolateral visual area,VISpl-L,157.0,7.0,4168.0,0.397140625,10495.02301609159
193,"left Posterolateral visual area, layer 1",VISpl1-L,192.0,8.0,728.0,0.0949375,7668.202764976959
194,"left Posterolateral visual area, layer 2/3",VISpl2/3-L,192.0,8.0,1015.0,0.104203125,9740.590793222373
195,"left Posterolateral visual area, layer 4",VISpl4-L,192.0,8.0,271.0,0.0181875,14900.343642611684
196,"left Posterolateral visual area, layer 5",VISpl5-L,192.0,8.0,1490.0,0.121671875,12246.051110825736
197,"left Posterolateral visual area, layer 6a",VISpl6a-L,192.0,8.0,625.0,0.05375,11627.906976744187
198,"left Posterolateral visual area, layer 6b",VISpl6b-L,192.0,8.0,39.0,0.004390625,8882.562277580071
199,left posteromedial visual area,VISpm-L,157.0,7.0,10447.0,0.522125,20008.618625807998
200,"left posteromedial visual area, layer 1",VISpm1-L,199.0,8.0,944.0,0.0939375,10049.234863606122
201,"left posteromedial visual area, layer 2/3",VISpm2/3-L,199.0,8.0,2797.0,0.14671875,19063.68477103301
202,"left posteromedial visual area, layer 4",VISpm4-L,199.0,8.0,1492.0,0.049328125,30246.43649033893
203,"left posteromedial visual area, layer 5",VISpm5-L,199.0,8.0,3378.0,0.14246875,23710.462820794033
204,"left posteromedial visual area, layer 6a",VISpm6a-L,199.0,8.0,1556.0,0.075359375,20647.729628861704
205,"left posteromedial visual area, layer 6b",VISpm6b-L,199.0,8.0,280.0,0.0143125,19563.318777292574
206,left Laterointermediate area,VISli-L,157.0,7.0,9234.0,0.246234375,37500.85665334095
207,"left Laterointermediate area, layer 1",VISli1-L,206.0,8.0,1306.0,0.03734375,34972.384937238494
208,"left Laterointermediate area, layer 2/3",VISli2/3-L,206.0,8.0,3077.0,0.05871875,52402.34167110165
209,"left Laterointermediate area, layer 4",VISli4-L,206.0,8.0,1155.0,0.02853125,40481.927710843374
210,"left Laterointermediate area, layer 5",VISli5-L,206.0,8.0,2258.0,0.07396875,30526.404731727926
211,"left Laterointermediate area, layer 6a",VISli6a-L,206.0,8.0,1318.0,0.03984375,33079.21568627451
212,"left Laterointermediate area, layer 6b",VISli6b-L,206.0,8.0,120.0,0.007828125,15329.34131736527
213,left Postrhinal area,VISpor-L,157.0,7.0,17607.0,0.641203125,27459.31720154982
214,"left Postrhinal area, layer 1",VISpor1-L,213.0,8.0,3020.0,0.12509375,24141.89357981514
215,"left Postrhinal area, layer 2/3",VISpor2/3-L,213.0,8.0,6263.0,0.186953125,33500.37609694944
216,"left Postrhinal area, layer 4",VISpor4-L,213.0,8.0,1188.0,0.03025,39272.72727272727
217,"left Postrhinal area, layer 5",VISpor5-L,213.0,8.0,4856.0,0.192390625,25240.31511410704
218,"left Postrhinal area, layer 6a",VISpor6a-L,213.0,8.0,2113.0,0.090234375,23416.796536796537
219,"left Postrhinal area, layer 6b",VISpor6b-L,213.0,8.0,167.0,0.01628125,10257.197696737045
220,left Anterior cingulate area,ACA-L,5.0,6.0,52958.0,2.754296875,19227.411714650403
226,"left Anterior cingulate area, dorsal part",ACAd-L,220.0,7.0,26020.0,1.556421875,16717.832367911175
227,"left Anterior cingulate area, dorsal part, layer 1",ACAd1-L,226.0,8.0,2353.0,0.289625,8124.298662063012
228,"left Anterior cingulate area, dorsal part, layer 2/3",ACAd2/3-L,226.0,8.0,7683.0,0.304125,25262.638717632555
229,"left Anterior cingulate area, dorsal part, layer 5",ACAd5-L,226.0,8.0,10616.0,0.600515625,17678.14118075612
230,"left Anterior cingulate area, dorsal part, layer 6a",ACAd6a-L,226.0,8.0,5199.0,0.349875,14859.592711682744
231,"left Anterior cingulate area, dorsal part, layer 6b",ACAd6b-L,226.0,8.0,169.0,0.01228125,13760.814249363868
232,"left Anterior cingulate area, ventral part",ACAv-L,220.0,7.0,26938.0,1.197875,22488.15610977773
233,"left Anterior cingulate area, ventral part, layer 1",ACAv1-L,232.0,8.0,2109.0,0.23403125,9011.617038322875
234,"left Anterior cingulate area, ventral part, layer 2/3",ACAv2/3-L,232.0,8.0,8808.0,0.24753125,35583.38593611918
235,"left Anterior cingulate area, ventral part, layer 5",ACAv5-L,232.0,8.0,11917.0,0.504171875,23636.780611770537
236,"left Anterior cingulate area, ventral part, 6a",ACAv6a-L,232.0,8.0,3539.0,0.181234375,19527.200620743166
237,"left Anterior cingulate area, ventral part, 6b",ACAv6b-L,232.0,8.0,565.0,0.03090625,18281.092012133468
238,left Prelimbic area,PL-L,5.0,6.0,19007.0,1.198703125,15856.303035832996
239,"left Prelimbic area, layer 1",PL1-L,238.0,7.0,1776.0,0.25490625,6967.267377712395
241,"left Prelimbic area, layer 2/3",PL2/3-L,238.0,7.0,4234.0,0.20753125,20401.74672489083
242,"left Prelimbic area, layer 5",PL5-L,238.0,7.0,8958.0,0.494078125,18130.735903355366
243,"left Prelimbic area, layer 6a",PL6a-L,238.0,7.0,3971.0,0.231484375,17154.505568680393
244,"left Prelimbic area, layer 6b",PL6b-L,238.0,7.0,68.0,0.010703125,6353.284671532846
245,left Infralimbic area,ILA-L,5.0,6.0,8447.0,0.419796875,20121.636207987493
246,"left Infralimbic area, layer 1",ILA1-L,245.0,7.0,339.0,0.073140625,4634.907071138646
248,"left Infralimbic area, layer 2/3",ILA2/3-L,245.0,7.0,1259.0,0.0715625,17593.01310043668
249,"left Infralimbic area, layer 5",ILA5-L,245.0,7.0,4488.0,0.167359375,26816.54374008029
250,"left Infralimbic area, layer 6a",ILA6a-L,245.0,7.0,2338.0,0.102421875,22827.15484363082
251,"left Infralimbic area, layer 6b",ILA6b-L,245.0,7.0,23.0,0.0053125,4329.411764705882
252,left Orbital area,ORB-L,5.0,6.0,64087.0,2.946921875,21747.098402464435
258,"left Orbital area, lateral part",ORBl-L,252.0,7.0,32763.0,1.36346875,24029.1535834613
259,"left Orbital area, lateral part, layer 1",ORBl1-L,258.0,8.0,3836.0,0.18784375,20421.2277491266
260,"left Orbital area, lateral part, layer 2/3",ORBl2/3-L,258.0,8.0,12146.0,0.31075,39086.082059533386
261,"left Orbital area, lateral part, layer 5",ORBl5-L,258.0,8.0,13985.0,0.603515625,23172.55663430421
262,"left Orbital area, lateral part, layer 6a",ORBl6a-L,258.0,8.0,2706.0,0.2386875,11336.999214454047
263,"left Orbital area, lateral part, layer 6b",ORBl6b-L,258.0,8.0,90.0,0.022671875,3969.6760854583044
264,"left Orbital area, medial part",ORBm-L,252.0,7.0,10361.0,0.694828125,14911.601340259505
