id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,814392.0,699.556515625,1164.1546920228502
0,left root,root-L,-1.0,0.0,3057866.0,250.9855625,12183.433857873797
1,left Basic cell groups and regions,grey-L,0.0,1.0,2831394.0,224.5929375,12606.781101476086
2,left Cerebrum,CH-L,1.0,2.0,2179357.0,137.89371875,15804.614015458916
3,left Cerebral cortex,CTX-L,2.0,3.0,1991062.0,110.753453125,17977.42592958092
4,left Cortical plate,CTXpl-L,3.0,4.0,1940489.0,106.300359375,18254.773656544847
5,left Isocortex,Isocortex-L,4.0,5.0,1062722.0,61.627640625,17244.242830365536
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,6409.0,0.4861875,13182.157089600205
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,2125.0,0.12675,16765.285996055227
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,1555.0,0.11703125,13287.049399198931
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,2293.0,0.185796875,12341.434698511479
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,433.0,0.05609375,7719.220055710307
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,3.0,0.000515625,5818.181818181818
12,left Somatomotor areas,MO-L,5.0,6.0,126554.0,12.231046875,10346.947509348009
18,left Primary motor area,MOp-L,12.0,7.0,64920.0,5.676734375,11436.152497447092
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,2818.0,0.664609375,4240.084636181969
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,21163.0,1.8444375,11473.958862796924
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,23169.0,1.636203125,14160.222313473458
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,17066.0,1.437953125,11868.258918384423
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,704.0,0.09353125,7526.896090878718
24,left Secondary motor area,MOs-L,12.0,7.0,61634.0,6.5543125,9403.579704202386
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,4072.0,1.1643125,3497.3428525417357
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,20571.0,1.901640625,10817.50133519576
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,23815.0,2.26159375,10530.18474250736
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,12923.0,1.189171875,10867.226404929901
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,253.0,0.03759375,6729.842061512884
30,left Somatosensory areas,SS-L,5.0,6.0,277890.0,16.666171875,16673.895006257997
37,left Primary somatosensory area,SSp-L,30.0,7.0,198865.0,12.1535,16362.776155017074
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,21518.0,1.509703125,14253.133376802145
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,3390.0,0.2028125,16714.946070878275
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,3555.0,0.3201875,11102.86941245364
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,3858.0,0.274109375,14074.673659009291
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,4749.0,0.283515625,16750.39955910719
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,5736.0,0.402328125,14257.019690085053
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,230.0,0.02675,8598.130841121496
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,57616.0,3.145734375,18315.596020404617
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,6920.0,0.419375,16500.745156482863
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,9030.0,0.75821875,11909.491818818777
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,12936.0,0.641265625,20172.607879924955
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,13891.0,0.603984375,22998.939335144223
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,13451.0,0.648828125,20731.222155328116
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,1388.0,0.0740625,18740.928270042194
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,21369.0,1.176484375,18163.43714722093
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,2792.0,0.149265625,18704.909452528
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,4154.0,0.32325,12850.734725444703
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,4098.0,0.1366875,29980.79561042524
