id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,655729.0,699.556515625,937.349571269673
0,left root,root-L,-1.0,0.0,3091451.0,250.9855625,12317.24633563335
1,left Basic cell groups and regions,grey-L,0.0,1.0,2902221.0,224.5929375,12922.138301877814
2,left Cerebrum,CH-L,1.0,2.0,2350993.0,137.89371875,17049.311754818416
3,left Cerebral cortex,CTX-L,2.0,3.0,2211795.0,110.753453125,19970.438280634873
4,left Cortical plate,CTXpl-L,3.0,4.0,2169126.0,106.300359375,20405.631860075733
5,left Isocortex,Isocortex-L,4.0,5.0,1370653.0,61.627640625,22240.880651919328
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,8125.0,0.4861875,16711.659596349145
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,2359.0,0.12675,18611.439842209074
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,2573.0,0.11703125,21985.58077436582
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,2648.0,0.185796875,14252.123454713648
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,537.0,0.05609375,9573.259052924792
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,8.0,0.000515625,15515.151515151514
12,left Somatomotor areas,MO-L,5.0,6.0,241441.0,12.231046875,19740.011011935556
18,left Primary motor area,MOp-L,12.0,7.0,128828.0,5.676734375,22694.033486462013
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,7686.0,0.664609375,11564.687904078995
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,50838.0,1.8444375,27562.874860221615
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,43128.0,1.636203125,26358.585520975583
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,26231.0,1.437953125,18241.90200914929
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,945.0,0.09353125,10103.575008352824
24,left Secondary motor area,MOs-L,12.0,7.0,112613.0,6.5543125,17181.512172329287
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,18271.0,1.1643125,15692.522411294218
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,36385.0,1.901640625,19133.478493077524
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,42006.0,2.26159375,18573.627557999753
