id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,1085567.0,699.556515625,1551.793137156516
0,left root,root-L,-1.0,0.0,3802646.0,250.9855625,15150.855539748427
1,left Basic cell groups and regions,grey-L,0.0,1.0,3551289.0,224.5929375,15812.113415186976
2,left Cerebrum,CH-L,1.0,2.0,2787185.0,137.89371875,20212.55953690784
3,left Cerebral cortex,CTX-L,2.0,3.0,2508292.0,110.753453125,22647.52862530669
4,left Cortical plate,CTXpl-L,3.0,4.0,2441469.0,106.300359375,22967.645776126992
5,left Isocortex,Isocortex-L,4.0,5.0,1571725.0,61.627640625,25503.572488907044
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,11387.0,0.4861875,23421.005270600333
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1195.0,0.12675,9428.00788954635
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,2526.0,0.11703125,21583.978638184246
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,6004.0,0.185796875,32314.859978134722
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,1655.0,0.05609375,29504.1782729805
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,7.0,0.000515625,13575.757575757576
12,left Somatomotor areas,MO-L,5.0,6.0,275887.0,12.231046875,22556.28670379043
18,left Primary motor area,MOp-L,12.0,7.0,132210.0,5.676734375,23289.798547250153
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,13246.0,0.664609375,19930.504290584227
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,49514.0,1.8444375,26845.04083223205
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,43765.0,1.636203125,26747.901486864597
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,24918.0,1.437953125,17328.79853089787
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,767.0,0.09353125,8200.467758102239
24,left Secondary motor area,MOs-L,12.0,7.0,143677.0,6.5543125,21920.987136331994
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,26470.0,1.1643125,22734.446293413494
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,45788.0,1.901640625,24078.156197362474
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,51690.0,2.26159375,22855.56369263932
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,19460.0,1.189171875,16364.329168144848
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,269.0,0.03759375,7155.4447215295095
30,left Somatosensory areas,SS-L,5.0,6.0,427867.0,16.666171875,25672.782160720395
37,left Primary somatosensory area,SSp-L,30.0,7.0,337761.0,12.1535,27791.253548360557
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,43201.0,1.509703125,28615.559764440444
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4425.0,0.2028125,21818.181818181816
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,9219.0,0.3201875,28792.504391957835
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,8579.0,0.274109375,31297.72558855384
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,7869.0,0.283515625,27755.084045191514
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,12570.0,0.402328125,31243.155073983457
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,539.0,0.02675,20149.532710280375
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,79230.0,3.145734375,25186.48765441297
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,9886.0,0.419375,23573.17436661699
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,16032.0,0.75821875,21144.29378065367
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,16372.0,0.641265625,25530.761921005826
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,14243.0,0.603984375,23581.735868581036
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,20591.0,0.648828125,31735.677302829623
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,2106.0,0.0740625,28435.44303797468
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,25689.0,1.176484375,21835.394116475196
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,2131.0,0.149265625,14276.562336438814
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,9931.0,0.32325,30722.35112142305
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,2867.0,0.1366875,20974.851394604484
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,4685.0,0.278,16852.51798561151
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,5790.0,0.263890625,21940.908283498135
71,"left Primary somatosensory area, lower limb, layer 6b",SSp-ll6b-L,65.0,9.0,285.0,0.025390625,11224.615384615385
72,"left Primary somatosensory area, mouth",SSp-m-L,37.0,8.0,92541.0,3.105328125,29800.715504098298
73,"left Primary somatosensory area, mouth, layer 1",SSp-m1-L,72.0,9.0,7476.0,0.3904375,19147.750920441813
74,"left Primary somatosensory area, mouth, layer 2/3",SSp-m2/3-L,72.0,9.0,24644.0,0.7490625,32899.79140592407
75,"left Primary somatosensory area, mouth, layer 4",SSp-m4-L,72.0,9.0,18298.0,0.4736875,38628.84285525795
76,"left Primary somatosensory area, mouth, layer 5",SSp-m5-L,72.0,9.0,15384.0,0.60871875,25272.755274911444
77,"left Primary somatosensory area, mouth, layer 6a",SSp-m6a-L,72.0,9.0,25656.0,0.82609375,31057.00775487044
78,"left Primary somatosensory area, mouth, layer 6b",SSp-m6b-L,72.0,9.0,1083.0,0.057328125,18891.25102207686
79,"left Primary somatosensory area, upper limb",SSp-ul-L,37.0,8.0,62834.0,1.88471875,33338.6612724047
80,"left Primary somatosensory area, upper limb, layer 1",SSp-ul1-L,79.0,9.0,7560.0,0.230640625,32778.26705507757
81,"left Primary somatosensory area, upper limb, layer 2/3",SSp-ul2/3-L,79.0,9.0,20889.0,0.4891875,42701.418167880416
82,"left Primary somatosensory area, upper limb, layer 4",SSp-ul4-L,79.0,9.0,9529.0,0.261640625,36420.18512988952
83,"left Primary somatosensory area, upper limb, layer 5",SSp-ul5-L,79.0,9.0,11896.0,0.395625,30068.878357030015
84,"left Primary somatosensory area, upper limb, layer 6a",SSp-ul6a-L,79.0,9.0,12563.0,0.470546875,26698.721567325254
85,"left Primary somatosensory area, upper limb, layer 6b",SSp-ul6b-L,79.0,9.0,397.0,0.037078125,10707.121786767804
86,"left Primary somatosensory area, trunk",SSp-tr-L,37.0,8.0,13956.0,0.700375,19926.467963590934
87,"left Primary somatosensory area, trunk, layer 1",SSp-tr1-L,86.0,9.0,1122.0,0.10228125,10969.75252062328
88,"left Primary somatosensory area, trunk, layer 2/3",SSp-tr2/3-L,86.0,9.0,4839.0,0.21225,22798.586572438162
89,"left Primary somatosensory area, trunk, layer 4",SSp-tr4-L,86.0,9.0,1828.0,0.07596875,24062.525709584534
90,"left Primary somatosensory area, trunk, layer 5",SSp-tr5-L,86.0,9.0,3286.0,0.17646875,18620.860633964938
91,"left Primary somatosensory area, trunk, layer 6a",SSp-tr6a-L,86.0,9.0,2573.0,0.11621875,22139.28475396612
92,"left Primary somatosensory area, trunk, layer 6b",SSp-tr6b-L,86.0,9.0,308.0,0.0171875,17920.0
93,"left Primary somatosensory area, unassigned",SSp-un-L,37.0,8.0,20310.0,0.63115625,32179.03649056791
94,"left Primary somatosensory area, unassigned, layer 1",SSp-un1-L,93.0,9.0,1585.0,0.08315625,19060.503570086432
95,"left Primary somatosensory area, unassigned, layer 2/3",SSp-un2/3-L,93.0,9.0,5338.0,0.165390625,32275.106282475197
96,"left Primary somatosensory area, unassigned, layer 4",SSp-un4-L,93.0,9.0,3321.0,0.09409375,35294.58651610761
97,"left Primary somatosensory area, unassigned, layer 5",SSp-un5-L,93.0,9.0,3853.0,0.129125,29839.303000968055
98,"left Primary somatosensory area, unassigned, layer 6a",SSp-un6a-L,93.0,9.0,5901.0,0.146953125,40155.66188197768
99,"left Primary somatosensory area, unassigned, layer 6b",SSp-un6b-L,93.0,9.0,312.0,0.0124375,25085.42713567839
100,left Supplemental somatosensory area,SSs-L,30.0,7.0,90106.0,4.512671875,19967.32811423388
101,"left Supplemental somatosensory area, layer 1",SSs1-L,100.0,8.0,8047.0,0.624,12895.833333333334
102,"left Supplemental somatosensory area, layer 2/3",SSs2/3-L,100.0,8.0,19091.0,1.072484375,17800.725535045676
103,"left Supplemental somatosensory area, layer 4",SSs4-L,100.0,8.0,16006.0,0.5831875,27445.71857250027
104,"left Supplemental somatosensory area, layer 5",SSs5-L,100.0,8.0,20992.0,1.092734375,19210.524058053907
105,"left Supplemental somatosensory area, layer 6a",SSs6a-L,100.0,8.0,23728.0,1.037703125,22865.88469125021
106,"left Supplemental somatosensory area, layer 6b",SSs6b-L,100.0,8.0,2242.0,0.1025625,21859.841560024375
107,left Gustatory areas,GU-L,5.0,6.0,25826.0,0.884859375,29186.558598647385
108,"left Gustatory areas, layer 1",GU1-L,107.0,7.0,1402.0,0.0978125,14333.546325878595
109,"left Gustatory areas, layer 2/3",GU2/3-L,107.0,7.0,5776.0,0.20109375,28722.921522921526
110,"left Gustatory areas, layer 4",GU4-L,107.0,7.0,2816.0,0.0735,38312.92517006803
111,"left Gustatory areas, layer 5",GU5-L,107.0,7.0,8966.0,0.272515625,32900.86577604496
112,"left Gustatory areas, layer 6a",GU6a-L,107.0,7.0,6466.0,0.219875,29407.617964752702
113,"left Gustatory areas, layer 6b",GU6b-L,107.0,7.0,400.0,0.0200625,19937.694704049845
114,left Visceral area,VISC-L,5.0,6.0,21184.0,1.177078125,17997.10618188576
115,"left Visceral area, layer 1",VISC1-L,114.0,7.0,1687.0,0.171578125,9832.255714415809
116,"left Visceral area, layer 2/3",VISC2/3-L,114.0,7.0,3013.0,0.268859375,11206.601964316847
117,"left Visceral area, layer 4",VISC4-L,114.0,7.0,1874.0,0.09134375,20515.90831337667
118,"left Visceral area, layer 5",VISC5-L,114.0,7.0,8072.0,0.35340625,22840.569457953843
119,"left Visceral area, layer 6a",VISC6a-L,114.0,7.0,5987.0,0.267125,22412.72812353767
120,"left Visceral area, layer 6b",VISC6b-L,114.0,7.0,551.0,0.024765625,22248.58044164038
121,left Auditory areas,AUD-L,5.0,6.0,49379.0,2.903578125,17006.258441900885
122,left Dorsal auditory area,AUDd-L,121.0,7.0,8360.0,0.607375,13764.149001852233
123,"left Dorsal auditory area, layer 1",AUDd1-L,122.0,8.0,774.0,0.098125,7887.898089171974
