id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,1206689.0,699.556515625,1724.9342591311813
0,left root,root-L,-1.0,0.0,4088794.0,250.9855625,16290.952990572914
1,left Basic cell groups and regions,grey-L,0.0,1.0,3821572.0,224.5929375,17015.548407438233
2,left Cerebrum,CH-L,1.0,2.0,2996598.0,137.89371875,21731.21464243635
3,left Cerebral cortex,CTX-L,2.0,3.0,2735851.0,110.753453125,24702.17336620853
4,left Cortical plate,CTXpl-L,3.0,4.0,2659553.0,106.300359375,25019.22868028874
5,left Isocortex,Isocortex-L,4.0,5.0,1641426.0,61.627640625,26634.57473551463
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,11412.0,0.4861875,23472.425761666025
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1407.0,0.12675,11100.591715976332
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,2668.0,0.11703125,22797.329773030706
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,5885.0,0.185796875,31674.37557816836
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,1442.0,0.05609375,25706.963788300836
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,10.0,0.000515625,19393.939393939392
12,left Somatomotor areas,MO-L,5.0,6.0,279402.0,12.231046875,22843.670117158308
18,left Primary motor area,MOp-L,12.0,7.0,136441.0,5.676734375,24035.121424894925
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,12396.0,0.664609375,18651.557540848713
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,47176.0,1.8444375,25577.445698214226
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,39728.0,1.636203125,24280.603913404702
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,35419.0,1.437953125,24631.540058025188
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,1722.0,0.09353125,18410.95890410959
24,left Secondary motor area,MOs-L,12.0,7.0,142961.0,6.5543125,21811.746083208574
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,20507.0,1.1643125,17612.96902678619
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,36576.0,1.901640625,19233.91808060474
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,57595.0,2.26159375,25466.554282792833
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,27559.0,1.189171875,23174.95105575046
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,724.0,0.03759375,19258.520365752283
30,left Somatosensory areas,SS-L,5.0,6.0,506777.0,16.666171875,30407.52272333085
37,left Primary somatosensory area,SSp-L,30.0,7.0,373582.0,12.1535,30738.634961122312
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,51297.0,1.509703125,33978.20349613438
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4148.0,0.2028125,20452.388289676426
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,8984.0,0.3201875,28058.559437829397
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,10321.0,0.274109375,37652.8529897965
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,9374.0,0.283515625,33063.4334527418
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,17894.0,0.402328125,44476.13499553381
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,576.0,0.02675,21532.71028037383
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,96612.0,3.145734375,30712.065445767334
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,11916.0,0.419375,28413.71087928465
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,17932.0,0.75821875,23650.16692082595
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,21362.0,0.641265625,33312.24872688288
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,18767.0,0.603984375,31071.995860820076
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,24505.0,0.648828125,37768.09151113787
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,2130.0,0.0740625,28759.493670886073
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,21939.0,1.176484375,18647.931469553092
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,3329.0,0.149265625,22302.522767716946
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,5693.0,0.32325,17611.755607115236
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,2498.0,0.1366875,18275.262917238226
