id,name,acronym,parent_structure_id,depth,count,volume (mm^3),density (cells/mm^3)
-1,background,bkd,-2.0,-1.0,603347.0,699.556515625,862.4707032582719
0,left root,root-L,-1.0,0.0,2142225.0,250.9855625,8535.251903184671
1,left Basic cell groups and regions,grey-L,0.0,1.0,2028564.0,224.5929375,9032.180720286451
2,left Cerebrum,CH-L,1.0,2.0,1690543.0,137.89371875,12259.753492216265
3,left Cerebral cortex,CTX-L,2.0,3.0,1582934.0,110.753453125,14292.41215814236
4,left Cortical plate,CTXpl-L,3.0,4.0,1560228.0,106.300359375,14677.5421002663
5,left Isocortex,Isocortex-L,4.0,5.0,853076.0,61.627640625,13842.425109066067
6,"left Frontal pole, cerebral cortex",FRP-L,5.0,6.0,6857.0,0.4861875,14103.612289497365
7,"left Frontal pole, layer 1",FRP1-L,6.0,7.0,1688.0,0.12675,13317.554240631163
8,"left Frontal pole, layer 2/3",FRP2/3-L,6.0,7.0,1377.0,0.11703125,11766.088117489986
9,"left Frontal pole, layer 5",FRP5-L,6.0,7.0,3013.0,0.185796875,16216.634429400387
10,"left Frontal pole, layer 6a",FRP6a-L,6.0,7.0,779.0,0.05609375,13887.465181058496
11,"left Frontal pole, layer 6b",FRP6b-L,6.0,7.0,0.0,0.000515625,0.0
12,left Somatomotor areas,MO-L,5.0,6.0,163092.0,12.231046875,13334.2633436682
18,left Primary motor area,MOp-L,12.0,7.0,74017.0,5.676734375,13038.658339549313
19,"left Primary motor area, Layer 1",MOp1-L,18.0,8.0,9874.0,0.664609375,14856.8473022217
20,"left Primary motor area, Layer 2/3",MOp2/3-L,18.0,8.0,28486.0,1.8444375,15444.275016095693
21,"left Primary motor area, Layer 5",MOp5-L,18.0,8.0,23378.0,1.636203125,14287.957065232962
22,"left Primary motor area, Layer 6a",MOp6a-L,18.0,8.0,11892.0,1.437953125,8270.088776363973
23,"left Primary motor area, Layer 6b",MOp6b-L,18.0,8.0,387.0,0.09353125,4137.654527230204
24,left Secondary motor area,MOs-L,12.0,7.0,89075.0,6.5543125,13590.288836548456
25,"left Secondary motor area, layer 1",MOs1-L,24.0,8.0,15893.0,1.1643125,13650.115411455257
26,"left Secondary motor area, layer 2/3",MOs2/3-L,24.0,8.0,23586.0,1.901640625,12402.97440532435
27,"left Secondary motor area, layer 5",MOs5-L,24.0,8.0,35354.0,2.26159375,15632.33892028575
28,"left Secondary motor area, layer 6a",MOs6a-L,24.0,8.0,13934.0,1.189171875,11717.397874045751
29,"left Secondary motor area, layer 6b",MOs6b-L,24.0,8.0,308.0,0.03759375,8192.851205320032
30,left Somatosensory areas,SS-L,5.0,6.0,302568.0,16.666171875,18154.61896525053
37,left Primary somatosensory area,SSp-L,30.0,7.0,225253.0,12.1535,18534.002550705558
44,"left Primary somatosensory area, nose",SSp-n-L,37.0,8.0,32995.0,1.509703125,21855.29025781145
45,"left Primary somatosensory area, nose, layer 1",SSp-n1-L,44.0,9.0,4205.0,0.2028125,20733.436055469952
46,"left Primary somatosensory area, nose, layer 2/3",SSp-n2/3-L,44.0,9.0,8154.0,0.3201875,25466.328323248097
47,"left Primary somatosensory area, nose, layer 4",SSp-n4-L,44.0,9.0,7281.0,0.274109375,26562.3895570883
48,"left Primary somatosensory area, nose, layer 5",SSp-n5-L,44.0,9.0,6676.0,0.283515625,23547.203086249658
49,"left Primary somatosensory area, nose, layer 6a",SSp-n6a-L,44.0,9.0,6431.0,0.402328125,15984.465416132665
50,"left Primary somatosensory area, nose, layer 6b",SSp-n6b-L,44.0,9.0,248.0,0.02675,9271.028037383177
51,"left Primary somatosensory area, barrel field",SSp-bfd-L,37.0,8.0,74411.0,3.145734375,23654.57191534171
52,"left Primary somatosensory area, barrel field, layer 1",SSp-bfd1-L,51.0,9.0,11204.0,0.419375,26715.946348733236
53,"left Primary somatosensory area, barrel field, layer 2/3",SSp-bfd2/3-L,51.0,9.0,17661.0,0.75821875,23292.750278201376
54,"left Primary somatosensory area, barrel field, layer 4",SSp-bfd4-L,51.0,9.0,21484.0,0.641265625,33502.49750249751
55,"left Primary somatosensory area, barrel field, layer 5",SSp-bfd5-L,51.0,9.0,12459.0,0.603984375,20628.01707411719
56,"left Primary somatosensory area, barrel field, layer 6a",SSp-bfd6a-L,51.0,9.0,10929.0,0.648828125,16844.21432871764
57,"left Primary somatosensory area, barrel field, layer 6b",SSp-bfd6b-L,51.0,9.0,674.0,0.0740625,9100.42194092827
65,"left Primary somatosensory area, lower limb",SSp-ll-L,37.0,8.0,11809.0,1.176484375,10037.532372667507
66,"left Primary somatosensory area, lower limb, layer 1",SSp-ll1-L,65.0,9.0,2996.0,0.149265625,20071.60054433162
67,"left Primary somatosensory area, lower limb, layer 2/3",SSp-ll2/3-L,65.0,9.0,3560.0,0.32325,11013.147718484146
68,"left Primary somatosensory area, lower limb, layer 4",SSp-ll4-L,65.0,9.0,1315.0,0.1366875,9620.484682213078
69,"left Primary somatosensory area, lower limb, layer 5",SSp-ll5-L,65.0,9.0,1992.0,0.278,7165.4676258992795
70,"left Primary somatosensory area, lower limb, layer 6a",SSp-ll6a-L,65.0,9.0,1785.0,0.263890625,6764.166025223519
